Arrival,Dept.,Nights,Room,Total (Rs) (Inclusive of Tax)
25-03-2025,26-03-2025,1.0,204-Deluxe with Balcony,1600.0
25-03-2025,26-03-2025,1.0,215-Deluxe without Balcony,1600.0
25-03-2025,26-03-2025,1.0,102-Deluxe with Balcony,2300.0
11-04-2025,12-04-2025,1.0,214-Deluxe without Balcony,1411.2
11-04-2025,12-04-2025,1.0,108-Deluxe without Balcony,2394.56
25-03-2025,26-03-2025,1.0,217-Deluxe Room (Non-AC),2111.2
19-04-2025,20-04-2025,1.0,216-Deluxe Room (Non-AC),1176.0
26-03-2025,27-03-2025,1.0,217-Deluxe Room (Non-AC),1568.0
26-03-2025,27-03-2025,1.0,115-Family Suite (4B),4180.0
27-03-2025,28-03-2025,1.0,212-Family Suite (4B),7870.0
31-03-2025,01-04-2025,1.0,217-Deluxe Room (Non-AC),1774.08
26-03-2025,27-03-2025,1.0,108-Deluxe without Balcony,1760.0
27-03-2025,29-03-2025,2.0,216-Deluxe Room (Non-AC),4124.8
26-03-2025,27-03-2025,1.0,105-Family Suite (3B),3620.0
26-03-2025,27-03-2025,1.0,111-Deluxe without Balcony,2500.0
26-03-2025,27-03-2025,1.0,109-Deluxe without Balcony,1680.0
27-03-2025,28-03-2025,1.0,218-Deluxe Room (Non-AC),1033.96
27-03-2025,28-03-2025,1.0,115-Family Suite (4B),5340.0
27-03-2025,27-03-2025,0.0,214-Deluxe without Balcony,2000.0
27-03-2025,28-03-2025,1.0,217-Deluxe Room (Non-AC),2878.0
29-03-2025,31-03-2025,2.0,311-Zen Room with Balcony,2145.54
27-03-2025,28-03-2025,1.0,203-Deluxe with Balcony,2600.0
27-03-2025,28-03-2025,1.0,219-Deluxe Room (Non-AC),1072.77
27-03-2025,28-03-2025,1.0,108-Deluxe without Balcony,1880.0
27-03-2025,28-03-2025,1.0,109-Deluxe without Balcony,1800.0
28-03-2025,29-03-2025,1.0,219-Deluxe Room (Non-AC),1176.0
28-03-2025,29-03-2025,1.0,218-Deluxe Room (Non-AC),1176.0
29-03-2025,30-03-2025,1.0,204-Deluxe with Balcony,2814.56
29-03-2025,30-03-2025,1.0,201-Deluxe with Balcony,2814.56
29-03-2025,30-03-2025,1.0,303-Zen Room with Balcony,2730.56
28-03-2025,30-03-2025,2.0,107-Executive Suite with Balcony,7630.0
28-03-2025,29-03-2025,1.0,206-Executive Suite with Balcony,4536.0
28-03-2025,30-03-2025,2.0,115-Family Suite (4B),10140.0
29-03-2025,31-03-2025,2.0,111-Deluxe without Balcony,2822.4
28-03-2025,29-03-2025,1.0,109-Deluxe without Balcony,1915.2
28-03-2025,29-03-2025,1.0,214-Deluxe without Balcony,2000.0
28-03-2025,29-03-2025,1.0,114-Family Suite (4B),5050.0
01-04-2025,02-04-2025,1.0,219-Deluxe Room (Non-AC),893.96
28-03-2025,29-03-2025,1.0,212-Family Suite (4B),4560.0
30-03-2025,31-03-2025,1.0,313-Zen Room with Balcony,2200.0
29-03-2025,30-03-2025,1.0,114-Family Suite (4B),5460.0
28-03-2025,29-03-2025,1.0,108-Deluxe without Balcony,2590.0
28-03-2025,29-03-2025,1.0,110-Deluxe without Balcony,1800.0
28-03-2025,29-03-2025,1.0,111-Deluxe without Balcony,2110.0
29-03-2025,30-03-2025,1.0,206-Executive Suite with Balcony,3986.0
30-03-2025,31-03-2025,1.0,115-Family Suite (4B),4420.0
30-03-2025,31-03-2025,1.0,105-Family Suite (3B),2800.0
30-03-2025,31-03-2025,1.0,305-Zen Room with Balcony,2200.0
29-03-2025,31-03-2025,2.0,106-Executive Suite with Balcony,5700.0
29-03-2025,31-03-2025,2.0,214-Deluxe without Balcony,3600.0
29-03-2025,30-03-2025,1.0,305-Zen Room with Balcony,2524.56
29-03-2025,30-03-2025,1.0,202-Deluxe with Balcony,2183.84
29-03-2025,30-03-2025,1.0,203-Deluxe with Balcony,2183.84
29-03-2025,01-04-2025,3.0,302-Zen Room with Balcony,8736.0
29-03-2025,31-03-2025,2.0,309-Zen Room with Balcony,4000.0
29-03-2025,31-03-2025,2.0,310-Zen Room with Balcony,4000.0
29-03-2025,30-03-2025,1.0,304-Zen Room with Balcony,3360.0
29-03-2025,30-03-2025,1.0,307-Zen Room with Balcony,2730.56
30-03-2025,31-03-2025,1.0,218-Deluxe Room (Non-AC),973.96
29-03-2025,30-03-2025,1.0,212-Family Suite (4B),4200.0
29-03-2025,30-03-2025,1.0,105-Family Suite (3B),3150.56
29-03-2025,30-03-2025,1.0,205-Family Suite (3B),3150.56
29-03-2025,30-03-2025,1.0,110-Deluxe without Balcony,5192.8
29-03-2025,30-03-2025,1.0,313-Zen Room with Balcony,3192.0
29-03-2025,30-03-2025,1.0,312-Zen Room with Balcony,3000.0
29-03-2025,30-03-2025,1.0,314-Zen Room with Balcony,3000.0
30-03-2025,31-03-2025,1.0,303-Zen Room with Balcony,2520.44
29-03-2025,30-03-2025,1.0,308-Zen Room with Balcony,5043.0
29-03-2025,30-03-2025,1.0,215-Deluxe without Balcony,3192.0
29-03-2025,30-03-2025,1.0,219-Deluxe Room (Non-AC),1500.0
29-03-2025,30-03-2025,1.0,218-Deluxe Room (Non-AC),1500.0
29-03-2025,30-03-2025,1.0,216-Deluxe Room (Non-AC),2014.0
03-04-2025,04-04-2025,1.0,218-Deluxe Room (Non-AC),1298.4
03-04-2025,04-04-2025,1.0,219-Deluxe Room (Non-AC),1058.4
30-03-2025,01-04-2025,2.0,206-Executive Suite with Balcony,6326.2
30-03-2025,31-03-2025,1.0,312-Zen Room with Balcony,2580.1
30-03-2025,31-03-2025,1.0,110-Deluxe without Balcony,2250.0
30-03-2025,31-03-2025,1.0,101-Deluxe with Balcony,2183.84
12-04-2025,14-04-2025,2.0,216-Deluxe Room (Non-AC),2540.16
30-03-2025,31-03-2025,1.0,202-Deluxe with Balcony,2183.84
30-03-2025,31-03-2025,1.0,204-Deluxe with Balcony,2850.0
30-03-2025,31-03-2025,1.0,307-Zen Room with Balcony,3610.0
30-03-2025,31-03-2025,1.0,114-Family Suite (4B),5190.0
30-03-2025,31-03-2025,1.0,301-Zen Room with Balcony,2457.5
09-04-2025,11-04-2025,2.0,108-Deluxe without Balcony,2250.23
30-03-2025,31-03-2025,1.0,210-Deluxe without Balcony,1910.0
30-03-2025,31-03-2025,1.0,308-Zen Room with Balcony,3000.0
